epoch,loss,reconstruction,kld
1,0.2959977686405182,0.2611119787801396,34.88578165390275
2,0.19289539754390717,0.17734739997170187,15.547998948530717
3,0.144545854492621,0.13425382633100857,10.292025306008078
4,0.11420203271237286,0.10109579495408318,13.10623667456887
5,0.0883667462251403,0.07660100609064102,11.765739354220303
6,0.06678763641552492,0.05517177690159191,11.615859465165572
7,0.05483449893918904,0.042184631594202736,12.649866320870139
8,0.04682149738073349,0.0332003559239886,13.621140306646174
9,0.03670416958630085,0.024801451882178135,11.902717243541371
10,0.03437009555372325,0.0190973219207742,15.272772268815475
11,0.03314796022393487,0.016299105842005123,16.848853371360086
12,0.03181073594499718,0.015371799214997074,16.43893562663685
13,0.026803720742464066,0.01366445862434127,13.139262026006525
14,0.0408502361652526,0.012218443084169518,28.63179180838845
15,1.4599452917887406,0.012680942869999191,1447.264203678478
16,0.04431045563383536,0.011837577531960878,32.472876808860086
17,0.03842699460007928,0.0110498500818556,27.37714264609597
18,0.03189066069369966,0.010465314357795498,21.4253456809304
19,0.03067314811050892,0.010165653022175486,20.50749397277832
20,0.033428794111717834,0.010149109092625704,23.27968389337713
21,0.41767875460738485,0.010160056027499113,407.51866947520864
22,0.03220657750286839,0.009256981397894297,22.949594324285332
23,0.030686476183208553,0.008867539888755842,21.818935220891778
24,0.03681005791506984,0.00913314792242917,27.676908493041992
25,0.03387157534333793,0.009265797974711115,24.605776006525215
26,0.05569737235253507,0.009030234237963503,46.66713593222878
27,0.03428249535235492,0.008492947302081368,25.789547139948066
28,0.7522889267314564,0.009265451480380514,743.0234326449307
29,0.03731635382229632,0.008436225312338634,28.880127126520332
30,5096.490497387946,0.009458666667342186,5096480.810617793
31,0.09245177747851069,0.009699933484873989,82.75183885747737
32,2698165417791862.0,0.009734643961895596,2.698165350634191e+18
33,0.06006836687976664,0.009689777369864962,50.37858616222035
34,0.050752846354788,0.008306414185261185,42.446429165926844
35,0.06002057242122563,0.00944956091486595,50.571008162064985
36,0.05021165480667895,0.008553544017062946,41.65810879794034
37,0.0458249608901414,0.008380455134267157,37.44450413097035
38,0.06185853582891551,0.0084795771505345,53.37895549427379
39,1.1599138172512704,0.009026556148786436,1150.8871761668813
40,0.0831209197640419,0.008098550521853294,75.02236487648703
