epoch,loss,val_acc,val_f1
1,0.5927,0.5882,0.3704
2,0.6428,0.4118,0.2917
3,0.5287,0.5882,0.5296
4,0.5223,0.5882,0.5296
5,0.4754,0.5882,0.3704
6,0.4535,0.5882,0.3704
7,0.3520,0.5882,0.3704
8,0.3440,0.5882,0.3704
9,0.2730,0.5882,0.3704
10,0.2255,0.6471,0.5096
11,0.1677,0.6471,0.5096
12,0.1371,0.7647,0.7424
13,0.1119,0.5882,0.3704
14,0.1774,0.8235,0.7984
15,0.1465,0.5882,0.3704
16,0.1265,0.5882,0.3704
17,0.0820,0.7647,0.7424
18,0.0480,0.8235,0.7984
19,0.0914,0.6471,0.5750
20,0.0570,0.6471,0.5096
