epoch,loss
1,0.03783724076029929
2,0.004941800947893749
3,0.0036293628667904572
4,0.0030426407359879126
5,0.0026756689926101403
6,0.0026234976142983546
7,0.0024897748265754094
8,0.0024653726088052445
9,0.0026017050047151065
10,0.0021590711548924446
11,0.0020347967828539286
12,0.001963626392270354
13,0.0018951921850781548
14,0.0018590323584662242
15,0.002297709431414577
16,0.002207312722351741
17,0.001989828676662662
18,0.001863588642498309
19,0.0017861063613302329
20,0.0016824314423667436
21,0.0016102525405585766
22,0.0019268530886620283
23,0.0020822605689648876
24,0.001863782939670438
25,0.0016355322652750394
26,0.0015901392960751598
27,0.0014786088564009829
28,0.0015278194861655886
29,0.0014029133175923066
30,0.0016815979033708572
31,0.0016208455728536303
32,0.0013807014541023157
33,0.0013803768141025846
34,0.0014151916945014489
35,0.0013242454257455063
36,0.001313389257781885
37,0.0014668703290887854
38,0.0013765459509820423
39,0.001343985209876502
40,0.0013795518316328526
41,0.0012759022171270442
42,0.00129780795594508
43,0.0012236694508994167
44,0.0011443794514475899
45,0.0011283445426008918
46,0.0012160408342341807
47,0.001309478020464832
48,0.0011350131244398654
49,0.001254974943797358
50,0.001063292181987146
51,0.0010887117876501923
52,0.0010374287640760567
53,0.0010937286001122134
54,0.0010365424942309883
55,0.0009454595750536431
56,0.0009557138070125471
57,0.000979611650109291
58,0.000850239948538894
59,0.0008421021100895649
60,0.0008363805404356258
61,0.0007736914187923751
62,0.0007509032835845243
63,0.000857075210660696
64,0.00090438607995483
65,0.0007040174201723527
66,0.0006407085747923702
67,0.000603541361422024
68,0.0005879969791170548
69,0.0005703322002029216
70,0.0005313578426880254
71,0.0005494741437194699
72,0.0007700378032909198
73,0.0006355655046222223
74,0.0005746745313941078
75,0.0004945193253330548
76,0.0004652388346254487
77,0.0004578952926253392
78,0.0004237667652143335
79,0.00045323645198633045
80,0.0004682457233271138
